date,page,query,clicks,impressions,position
2026-03-18,https://getdailyvox.com/,the daily vox,0.0,1.0,11.0
2026-03-18,https://getdailyvox.com/blog/what-is-a-digital-twin,digital twin of a person,0.0,1.0,76.0
2026-03-19,https://getdailyvox.com/,the daily vox,0.0,1.0,8.0
2026-03-20,https://getdailyvox.com/blog/how-to-journal-for-sleep,journal before bed,0.0,1.0,70.0
2026-04-02,https://getdailyvox.com/,getdailyvox,0.0,4.0,1.0
2026-04-02,https://getdailyvox.com/blog,getdailyvox,0.0,4.0,3.0
2026-04-02,https://getdailyvox.com/blog/dailyvox-vs-apple-journal,getdailyvox,0.0,4.0,10.25
2026-04-02,https://getdailyvox.com/blog/what-is-a-digital-twin,getdailyvox,0.0,4.0,6.0
2026-04-03,https://getdailyvox.com/,getdailyvox,0.0,3.0,1.0
2026-04-03,https://getdailyvox.com/blog,getdailyvox,0.0,3.0,2.666666666666667
2026-04-03,https://getdailyvox.com/blog/dailyvox-vs-apple-journal,getdailyvox,0.0,3.0,10.0
2026-04-03,https://getdailyvox.com/blog/what-is-a-digital-twin,getdailyvox,0.0,3.0,6.333333333333333
2026-04-04,https://getdailyvox.com/,getdailyvox,0.0,4.0,1.0
2026-04-04,https://getdailyvox.com/blog,getdailyvox,0.0,4.0,2.0
2026-04-04,https://getdailyvox.com/blog/dailyvox-vs-apple-journal,getdailyvox,0.0,4.0,9.0
2026-04-04,https://getdailyvox.com/blog/what-is-a-digital-twin,getdailyvox,0.0,4.0,5.75
2026-04-05,https://getdailyvox.com/,getdailyvox,0.0,10.0,1.0
2026-04-05,https://getdailyvox.com/blog,getdailyvox,0.0,10.0,5.5
2026-04-05,https://getdailyvox.com/blog/dailyvox-vs-apple-journal,getdailyvox,0.0,10.0,9.4
2026-04-05,https://getdailyvox.com/blog/how-to-journal-for-sleep,getdailyvox,0.0,1.0,15.0
2026-04-05,https://getdailyvox.com/blog/journal-app-privacy-comparison,getdailyvox,0.0,1.0,16.0
2026-04-05,https://getdailyvox.com/blog/voice-journal-for-dyslexia,getdailyvox,0.0,1.0,2.0
2026-04-05,https://getdailyvox.com/blog/what-is-a-digital-twin,getdailyvox,0.0,10.0,3.4
2026-04-06,https://getdailyvox.com/,getdailyvox,0.0,2.0,1.0
2026-04-06,https://getdailyvox.com/blog,getdailyvox,0.0,2.0,3.5
2026-04-06,https://getdailyvox.com/blog/dailyvox-vs-apple-journal,getdailyvox,0.0,1.0,8.0
2026-04-06,https://getdailyvox.com/blog/how-to-journal-for-sleep,getdailyvox,0.0,1.0,14.0
2026-04-06,https://getdailyvox.com/blog/journal-app-privacy-comparison,getdailyvox,0.0,1.0,16.0
2026-04-06,https://getdailyvox.com/blog/voice-journal-for-dyslexia,getdailyvox,0.0,2.0,10.0
2026-04-06,https://getdailyvox.com/blog/what-is-a-digital-twin,getdailyvox,0.0,2.0,4.0
2026-04-07,https://getdailyvox.com/,getdailyvox,0.0,3.0,1.0
2026-04-07,https://getdailyvox.com/blog,getdailyvox,0.0,3.0,4.333333333333334
2026-04-07,https://getdailyvox.com/blog/voice-journal-for-dyslexia,getdailyvox,0.0,2.0,9.0
2026-04-07,https://getdailyvox.com/blog/what-is-a-digital-twin,getdailyvox,0.0,3.0,3.3333333333333335
2026-04-08,https://getdailyvox.com/,getdailyvox,0.0,4.0,1.0
2026-04-08,https://getdailyvox.com/blog,getdailyvox,0.0,4.0,5.0
