date,page,clicks,impressions,ctr,position
2026-03-15,https://getdailyvox.com/,1.0,1.0,1.0,1.0
2026-03-16,https://getdailyvox.com/,0.0,3.0,0.0,1.0
2026-03-18,https://getdailyvox.com/,0.0,1.0,0.0,11.0
2026-03-18,https://getdailyvox.com/blog/what-is-a-digital-twin,0.0,1.0,0.0,76.0
2026-03-18,https://getdailyvox.com/blog/why-your-journal-app-shouldnt-need-internet,0.0,3.0,0.0,6.666666666666667
2026-03-19,https://getdailyvox.com/,0.0,10.0,0.0,1.7
2026-03-19,https://getdailyvox.com/blog,0.0,9.0,0.0,3.7777777777777777
2026-03-19,https://getdailyvox.com/blog/dailyvox-vs-apple-journal,0.0,4.0,0.0,3.25
2026-03-19,https://getdailyvox.com/blog/how-to-journal-for-sleep,0.0,2.0,0.0,4.5
2026-03-19,https://getdailyvox.com/blog/voice-journal-for-dyslexia,0.0,2.0,0.0,3.5
2026-03-19,https://getdailyvox.com/blog/voice-journal-for-runners,0.0,1.0,0.0,4.0
2026-03-19,https://getdailyvox.com/blog/what-is-a-digital-twin,0.0,3.0,0.0,9.0
2026-03-19,https://getdailyvox.com/blog/why-your-journal-app-shouldnt-need-internet,0.0,8.0,0.0,5.625
2026-03-20,https://getdailyvox.com/,0.0,1.0,0.0,3.0
2026-03-20,https://getdailyvox.com/blog/how-to-journal-for-sleep,0.0,2.0,0.0,40.0
2026-03-20,https://getdailyvox.com/blog/what-is-a-digital-twin,0.0,6.0,0.0,4.166666666666666
2026-03-20,https://getdailyvox.com/blog/why-your-journal-app-shouldnt-need-internet,0.0,1.0,0.0,2.0
2026-03-21,https://getdailyvox.com/blog,0.0,2.0,0.0,3.0
2026-03-21,https://getdailyvox.com/blog/dailyvox-vs-apple-journal,0.0,1.0,0.0,3.0
2026-03-21,https://getdailyvox.com/blog/voice-journal-for-runners,0.0,1.0,0.0,2.0
2026-03-21,https://getdailyvox.com/blog/what-is-a-digital-twin,0.0,2.0,0.0,9.0
2026-03-21,https://getdailyvox.com/blog/why-your-journal-app-shouldnt-need-internet,0.0,5.0,0.0,6.6
2026-03-22,https://getdailyvox.com/blog,0.0,1.0,0.0,5.0
2026-03-22,https://getdailyvox.com/blog/what-is-a-digital-twin,0.0,5.0,0.0,8.2
2026-03-22,https://getdailyvox.com/blog/why-your-journal-app-shouldnt-need-internet,0.0,4.0,0.0,9.0
2026-03-23,https://getdailyvox.com/,0.0,4.0,0.0,6.75
2026-03-23,https://getdailyvox.com/blog,0.0,3.0,0.0,10.666666666666666
2026-03-23,https://getdailyvox.com/blog/what-is-a-digital-twin,0.0,2.0,0.0,5.0
2026-03-23,https://getdailyvox.com/blog/why-your-journal-app-shouldnt-need-internet,0.0,1.0,0.0,8.0
2026-03-24,https://getdailyvox.com/,0.0,5.0,0.0,1.0
2026-03-24,https://getdailyvox.com/blog,0.0,3.0,0.0,4.333333333333334
2026-03-24,https://getdailyvox.com/blog/dailyvox-vs-apple-journal,0.0,2.0,0.0,4.5
2026-03-24,https://getdailyvox.com/blog/voice-journal-for-dyslexia,0.0,2.0,0.0,4.0
2026-03-24,https://getdailyvox.com/blog/voice-journal-for-runners,0.0,2.0,0.0,5.5
2026-03-24,https://getdailyvox.com/blog/what-is-a-digital-twin,0.0,3.0,0.0,4.666666666666666
2026-03-24,https://getdailyvox.com/blog/why-your-journal-app-shouldnt-need-internet,0.0,8.0,0.0,4.625
2026-03-25,https://getdailyvox.com/,0.0,12.0,0.0,1.75
2026-03-25,https://getdailyvox.com/blog,0.0,4.0,0.0,2.5
2026-03-25,https://getdailyvox.com/blog/dailyvox-vs-apple-journal,0.0,3.0,0.0,4.0
2026-03-25,https://getdailyvox.com/blog/journal-app-privacy-comparison,0.0,1.0,0.0,7.0
2026-03-25,https://getdailyvox.com/blog/what-is-a-digital-twin,0.0,4.0,0.0,7.0
2026-03-25,https://getdailyvox.com/blog/why-your-journal-app-shouldnt-need-internet,0.0,9.0,0.0,7.0
